XP_001175788.2	serine/threonine-protein kinase 35
XP_001175790.1	dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A
XP_001175793.2	histone H2A, embryonic-like
XP_001175794.2	CD63 antigen isoform X1
XP_001175797.1	rRNA 2'-O-methyltransferase fibrillarin isoform X1
XP_001175881.1	kappa-type opioid receptor-like
XP_001175931.2	uncharacterized protein LOC753346
XP_001175932.3	nuclear envelope phosphatase-regulatory subunit 1 isoform X1
XP_001175936.1	uncharacterized protein LOC752500
XP_001175939.1	uncharacterized protein C12orf45 homolog
XP_001176086.1	50 kDa hatching enzyme
XP_001176088.1	uncharacterized protein LOC752443
XP_001176091.1	ribonuclease H2 subunit C
XP_001176097.1	protein transport protein Sec61 subunit beta
XP_001176098.2	protein sprouty homolog 3
XP_001176190.4	uncharacterized protein LOC752104
XP_001176225.1	tumor protein D54 isoform X5
XP_001176229.1	cell death abnormality protein 1
XP_001176234.3	acidic proline-rich protein PRP33 isoform X1
XP_001176236.1	ADP-ribosylation factor-like protein 3
XP_001176242.1	actin-15B
XP_001176244.2	tubulin alpha-1D chain
XP_001176328.3	acid phosphatase type 7
XP_001176371.1	uncharacterized protein LOC752454
XP_001176388.2	uncharacterized protein LOC752525
XP_001176471.3	uncharacterized protein LOC752124 isoform X1
XP_001176515.2	neugrin
XP_001176529.2	uncharacterized protein LOC752541
XP_001176618.1	muscarinic acetylcholine receptor gar-3-like
XP_001176662.1	uncharacterized protein LOC753871
XP_001176667.1	RIIa domain-containing protein 1
XP_001176679.2	uncharacterized protein LOC752558
XP_001176791.2	parafibromin
XP_001176793.1	guanine nucleotide-binding protein subunit beta isoform X7
XP_001176794.1	uncharacterized protein LOC753888
XP_001176802.2	histone H2A, embryonic-like
XP_001176813.1	mitochondrial-processing peptidase subunit beta-like
XP_001176932.1	guanine nucleotide-binding protein subunit beta isoform X4
XP_001176938.2	CKLF-like MARVEL transmembrane domain-containing protein 4 isoform X1
XP_001176939.1	actin-85C
XP_001177072.3	heparan sulfate glucosamine 3-O-sulfotransferase 5
XP_001177083.2	uncharacterized protein LOC753104
XP_001177085.1	activated RNA polymerase II transcriptional coactivator p15
